max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
551;603;2486;9000;10;26;95254;78422
949;743;4514;9000;7;27;95667;77591
1895;3174;11088;9000;15;35;97424;80547
485;720;2753;9000;13;32;96749;76999
494;398;2152;9000;9;37;95583;74587
1527;3081;9490;9000;14;29;95185;75419
1260;2167;7443;9000;12;31;96785;76400
385;275;1560;9000;8;29;96505;77541
349;312;1805;9000;8;34;95981;77623
395;267;1612;9000;8;30;96448;76121
1893;1157;9169;9000;8;28;97163;77864
384;289;1458;9000;8;29;96805;75676
306;288;1591;9000;8;32;96071;75708
633;682;3786;9000;8;31;96370;76533
563;893;3184;9000;12;29;96494;76528
392;269;1547;9000;8;36;96677;76719
355;1016;2393;9000;16;35;97453;76907
592;447;2486;9000;7;28;98265;77570
425;238;2066;9000;7;35;98023;77522
394;424;2260;9000;10;35;97631;78603
1162;1276;7471;9000;10;29;97850;77766
419;448;2223;9000;9;30;97731;77323
633;475;2726;9000;8;33;98387;78307
417;495;1944;9000;13;32;97768;76424
954;708;3350;9000;9;31;99455;81973
379;437;2099;9000;10;30;98607;78450
633;497;2466;9000;9;29;98010;76490
573;796;3463;9000;10;29;98911;77248
618;682;3745;9000;12;33;99816;79109
420;328;2134;9000;9;35;99081;79246
384;331;1691;9000;8;30;99592;78310
340;191;1341;9000;6;34;99489;77931
427;282;1686;9000;6;27;98845;78056
358;305;1812;9000;9;34;99588;79432
1159;1820;6845;9000;13;29;100458;79977
378;288;1626;9000;7;30;100348;79043
837;334;3523;9000;6;33;100623;79288
632;384;2879;9000;7;33;101570;80265
1316;862;4879;9600;8;28;100472;80926
281;309;1391;9600;9;18;101663;80209
308;325;2159;9600;9;20;100474;79144
458;554;2641;9600;13;15;101903;81698
340;398;1853;9600;10;18;101682;81663
571;952;4968;9600;14;40;102020;81988
376;561;2404;9600;14;40;102251;81892
427;239;1769;9600;8;17;100863;79605
390;637;2499;9600;14;36;101480;81281
492;743;2780;9600;12;17;102975;81261
885;1189;5564;9600;12;15;102641;81617
