max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
630;390;2837;11000;8;35;149280;1136
372;589;2444;12000;11;39;196841;1468
422;298;1793;10000;8;31;112482;882
1146;877;4715;7000;7;26;63140;528
524;379;1986;8000;10;32;76925;628
591;359;2433;7000;6;23;64936;535
1400;1884;11264;15000;12;49;531676;3814
621;716;2665;7000;11;24;64501;535
300;326;1746;11000;11;38;134022;1045
491;282;2147;9980;7;31;104028;817
609;1064;5271;22000;21;79;1703137;11718
396;688;3055;14000;16;49;427231;3086
419;781;2879;12000;16;42;187687;1403
493;715;3011;14000;14;46;396340;2865
488;226;1872;5000;3;18;45014;384
1313;753;4291;5000;5;15;44622;383
786;455;3979;9000;7;30;96539;763
1888;921;6431;4000;4;17;37689;332
361;118;710;4000;3;13;36634;336
276;242;1119;6000;7;22;53633;460
984;984;5165;8000;9;31;76062;623
405;704;2617;9000;10;29;94411;752
1012;595;4535;3000;5;22;27016;246
1156;644;4197;9000;8;28;93882;754
268;162;1137;7000;6;25;64578;533
412;498;1918;7000;9;28;64010;535
334;77;1372;5000;3;18;44305;379
499;745;2787;7000;10;23;63753;532
300;678;2621;16000;18;57;802568;5657
1014;2425;7887;20000;21;64;1675356;11514
194;124;722;6000;7;24;54197;464
373;485;2205;10000;12;40;115646;901
235;440;1576;10980;14;36;124318;977
393;297;1559;8000;9;27;78945;637
399;747;2755;13000;17;42;266529;1968
616;1311;4284;14000;19;43;403724;2909
1012;595;4535;6000;5;22;51434;434
634;568;2826;11000;9;38;143540;1095
456;260;1937;9980;7;32;104295;820
377;645;2241;8000;13;28;79021;640
417;312;1725;10000;9;32;112356;876
452;425;2090;10000;12;35;116074;907
553;685;3614;13000;9;46;307671;2247
475;619;2715;14000;15;47;396069;2871
407;752;3491;13000;16;43;305863;2242
593;778;3728;12000;13;41;202834;1522
420;198;1462;5000;4;19;44278;390
629;413;2462;9000;9;31;95990;756
363;364;2035;12000;13;45;192701;1447
624;724;3304;9000;10;32;95894;763
387;301;1917;8000;8;28;77958;632
589;882;3674;13000;13;40;275524;2027
983;954;5358;17000;13;60;1141657;8039
268;162;1137;7000;6;25;64578;533
635;322;2525;5000;4;21;44872;390
336;121;1439;4000;4;17;35918;319
611;770;3311;13000;14;42;292295;2151
581;380;2389;8000;6;27;76642;625
424;596;2683;11000;12;35;138965;1073
441;683;2421;12000;15;43;188004;1416
453;898;3413;14000;16;46;426664;3076
403;530;2438;11000;11;40;133180;1036
448;289;1625;7000;7;25;65253;535
555;783;3101;10000;12;34;116262;902
592;1231;4415;13000;16;51;270962;2001
505;853;3315;14000;19;48;416254;3001
417;627;2651;13000;18;45;274823;2035
722;1050;4366;11000;13;34;137532;1061
378;436;1966;9000;10;31;95511;759
426;289;2188;5000;6;20;44896;391
633;412;1093;3000;4;10;26198;252
785;501;3457;8000;5;26;81089;645
430;288;1473;7000;8;24;64577;531
374;330;1659;6000;6;21;50245;428
1893;832;6276;5000;5;17;44774;390
343;457;1969;7000;7;23;63007;518
444;395;3316;15000;13;53;524051;3750
394;545;2217;9000;11;28;91954;728
286;133;1002;6000;6;22;53788;451
1127;825;4712;6000;8;26;53625;451
560;567;3282;12000;12;39;203283;1528
895;1472;6677;15000;16;50;518334;3728
388;660;2353;15000;15;41;511661;3658
373;176;1972;4000;3;17;37342;328
1211;796;4030;6000;5;20;51725;436
612;437;1792;2000;4;8;21425;204
287;584;2139;10000;15;44;114505;896
288;180;1058;5000;4;18;44157;382
400;516;2823;17000;19;63;1153549;8035
373;515;2175;10000;12;33;112724;883
578;539;2680;7000;7;24;64008;529
585;294;2565;6000;4;20;52794;445
398;410;2081;8000;10;27;77647;635
292;245;1254;7000;7;23;65381;541
633;278;2601;7000;4;24;65117;532
837;1450;5788;10000;11;33;111887;873
346;343;1736;11000;12;34;136379;1058
1550;482;4198;2000;2;11;21688;209
539;574;2668;8000;8;26;80217;639
491;567;3431;13000;13;52;341370;2481
485;435;2542;7000;8;25;64367;533
858;1467;6759;15000;13;46;521147;3741
453;365;1877;8000;8;27;79551;643
293;210;999;6000;6;22;52240;438
397;619;2631;8000;9;32;79794;642
364;513;1990;10000;10;32;111585;877
377;251;1368;6000;7;19;51925;448
411;539;2353;11000;11;33;144890;1119
361;224;2026;7000;5;28;63950;528
424;413;2532;13000;14;48;320770;2329
613;1166;5419;20000;24;76;1701883;11710
558;787;3091;8000;8;29;75985;614
397;264;1692;10000;8;34;112095;887
339;492;2002;14000;17;42;429300;3101
344;431;2062;11000;15;40;133688;1039
410;1039;2615;13000;17;39;281709;2073
613;1143;4421;12000;18;42;187776;1412
381;544;2091;8000;12;30;80335;646
616;406;2628;8000;9;29;75121;614
